sec_from_start,pts_time,tc_seconds,tc_str
356,356.0,50614.367033333336,14:03:34:22
357,357.0,50615.367033333336,14:03:35:22
358,358.0,50616.367033333336,14:03:36:22
359,359.0,50617.367033333336,14:03:37:22
360,360.0,50618.367033333336,14:03:38:22
361,361.0,50619.367033333336,14:03:39:22
362,362.0,50620.367033333336,14:03:40:22
363,363.0,50621.367033333336,14:03:41:22
364,364.0,50622.367033333336,14:03:42:22
365,365.0,50623.367033333336,14:03:43:22
366,366.0,50624.367033333336,14:03:44:22
367,367.0,50625.367033333336,14:03:45:22
368,368.0,50626.367033333336,14:03:46:22
369,369.0,50627.367033333336,14:03:47:22
370,370.0,50628.367033333336,14:03:48:22
371,371.0,50629.367033333336,14:03:49:22
372,372.0,50630.367033333336,14:03:50:22
373,373.0,50631.367033333336,14:03:51:22
374,374.0,50632.367033333336,14:03:52:22
375,375.0,50633.367033333336,14:03:53:22
376,376.0,50634.367033333336,14:03:54:22
377,377.0,50635.367033333336,14:03:55:22
378,378.0,50636.367033333336,14:03:56:22
379,379.0,50637.367033333336,14:03:57:22
380,380.0,50638.367033333336,14:03:58:22
381,381.0,50639.367033333336,14:03:59:22
382,382.0,50640.367033333336,14:04:00:22
383,383.0,50641.367033333336,14:04:01:22
384,384.0,50642.367033333336,14:04:02:22
385,385.0,50643.367033333336,14:04:03:22
386,386.0,50644.367033333336,14:04:04:22
387,387.0,50645.367033333336,14:04:05:22
388,388.0,50646.367033333336,14:04:06:22
389,389.0,50647.367033333336,14:04:07:22
390,390.0,50648.367033333336,14:04:08:22
391,391.0,50649.367033333336,14:04:09:22
392,392.0,50650.367033333336,14:04:10:22
393,393.0,50651.367033333336,14:04:11:22
394,394.0,50652.367033333336,14:04:12:22
395,395.0,50653.367033333336,14:04:13:22
396,396.0,50654.367033333336,14:04:14:22
397,397.0,50655.367033333336,14:04:15:22
398,398.0,50656.367033333336,14:04:16:22
399,399.0,50657.367033333336,14:04:17:22
400,400.0,50658.367033333336,14:04:18:22
401,401.0,50659.367033333336,14:04:19:22
402,402.0,50660.367033333336,14:04:20:22
403,403.0,50661.367033333336,14:04:21:22
404,404.0,50662.367033333336,14:04:22:22
405,405.0,50663.367033333336,14:04:23:22
406,406.0,50664.367033333336,14:04:24:22
407,407.0,50665.367033333336,14:04:25:22
408,408.0,50666.367033333336,14:04:26:22
409,409.0,50667.367033333336,14:04:27:22
410,410.0,50668.367033333336,14:04:28:22
411,411.0,50669.367033333336,14:04:29:22
412,412.0,50670.367033333336,14:04:30:22
413,413.0,50671.367033333336,14:04:31:22
414,414.0,50672.367033333336,14:04:32:22
415,415.0,50673.367033333336,14:04:33:22
416,416.0,50674.367033333336,14:04:34:22
417,417.0,50675.367033333336,14:04:35:22
418,418.0,50676.367033333336,14:04:36:22
419,419.0,50677.367033333336,14:04:37:22
420,420.0,50678.367033333336,14:04:38:22
421,421.0,50679.367033333336,14:04:39:22
422,422.0,50680.367033333336,14:04:40:22
423,423.0,50681.367033333336,14:04:41:22
424,424.0,50682.367033333336,14:04:42:22
425,425.0,50683.367033333336,14:04:43:22
426,426.0,50684.367033333336,14:04:44:22
427,427.0,50685.367033333336,14:04:45:22
428,428.0,50686.367033333336,14:04:46:22
429,429.0,50687.367033333336,14:04:47:22
430,430.0,50688.367033333336,14:04:48:22
431,431.0,50689.367033333336,14:04:49:22
432,432.0,50690.367033333336,14:04:50:22
433,433.0,50691.367033333336,14:04:51:22
434,434.0,50692.367033333336,14:04:52:22
435,435.0,50693.367033333336,14:04:53:22
436,436.0,50694.367033333336,14:04:54:22
437,437.0,50695.367033333336,14:04:55:22
438,438.0,50696.367033333336,14:04:56:22
439,439.0,50697.367033333336,14:04:57:22
440,440.0,50698.367033333336,14:04:58:22
441,441.0,50699.367033333336,14:04:59:22
442,442.0,50700.367033333336,14:05:00:22
443,443.0,50701.367033333336,14:05:01:22
444,444.0,50702.367033333336,14:05:02:22
445,445.0,50703.367033333336,14:05:03:22
446,446.0,50704.367033333336,14:05:04:22
447,447.0,50705.367033333336,14:05:05:22
448,448.0,50706.367033333336,14:05:06:22
449,449.0,50707.367033333336,14:05:07:22
450,450.0,50708.367033333336,14:05:08:22
451,451.0,50709.367033333336,14:05:09:22
452,452.0,50710.367033333336,14:05:10:22
453,453.0,50711.367033333336,14:05:11:22
454,454.0,50712.367033333336,14:05:12:22
455,455.0,50713.367033333336,14:05:13:22
456,456.0,50714.367033333336,14:05:14:22
457,457.0,50715.367033333336,14:05:15:22
458,458.0,50716.367033333336,14:05:16:22
459,459.0,50717.367033333336,14:05:17:22
460,460.0,50718.367033333336,14:05:18:22
461,461.0,50719.367033333336,14:05:19:22
462,462.0,50720.367033333336,14:05:20:22
463,463.0,50721.367033333336,14:05:21:22
464,464.0,50722.367033333336,14:05:22:22
465,465.0,50723.367033333336,14:05:23:22
466,466.0,50724.367033333336,14:05:24:22
467,467.0,50725.367033333336,14:05:25:22
468,468.0,50726.367033333336,14:05:26:22
469,469.0,50727.367033333336,14:05:27:22
470,470.0,50728.367033333336,14:05:28:22
471,471.0,50729.367033333336,14:05:29:22
472,472.0,50730.367033333336,14:05:30:22
473,473.0,50731.367033333336,14:05:31:22
474,474.0,50732.367033333336,14:05:32:22
475,475.0,50733.367033333336,14:05:33:22
476,476.0,50734.367033333336,14:05:34:22
477,477.0,50735.367033333336,14:05:35:22
478,478.0,50736.367033333336,14:05:36:22
479,479.0,50737.367033333336,14:05:37:22
480,480.0,50738.367033333336,14:05:38:22
481,481.0,50739.367033333336,14:05:39:22
482,482.0,50740.367033333336,14:05:40:22
483,483.0,50741.367033333336,14:05:41:22
484,484.0,50742.367033333336,14:05:42:22
485,485.0,50743.367033333336,14:05:43:22
486,486.0,50744.367033333336,14:05:44:22
487,487.0,50745.367033333336,14:05:45:22
488,488.0,50746.367033333336,14:05:46:22
489,489.0,50747.367033333336,14:05:47:22
490,490.0,50748.367033333336,14:05:48:22
491,491.0,50749.367033333336,14:05:49:22
492,492.0,50750.367033333336,14:05:50:22
493,493.0,50751.367033333336,14:05:51:22
494,494.0,50752.367033333336,14:05:52:22
495,495.0,50753.367033333336,14:05:53:22
496,496.0,50754.367033333336,14:05:54:22
497,497.0,50755.367033333336,14:05:55:22
498,498.0,50756.367033333336,14:05:56:22
499,499.0,50757.367033333336,14:05:57:22
500,500.0,50758.367033333336,14:05:58:22
501,501.0,50759.367033333336,14:05:59:22
502,502.0,50760.367033333336,14:06:00:22
503,503.0,50761.367033333336,14:06:01:22
504,504.0,50762.367033333336,14:06:02:22
505,505.0,50763.367033333336,14:06:03:22
506,506.0,50764.367033333336,14:06:04:22
507,507.0,50765.367033333336,14:06:05:22
508,508.0,50766.367033333336,14:06:06:22
509,509.0,50767.367033333336,14:06:07:22
510,510.0,50768.367033333336,14:06:08:22
511,511.0,50769.367033333336,14:06:09:22
512,512.0,50770.367033333336,14:06:10:22
513,513.0,50771.367033333336,14:06:11:22
514,514.0,50772.367033333336,14:06:12:22
515,515.0,50773.367033333336,14:06:13:22
516,516.0,50774.367033333336,14:06:14:22
517,517.0,50775.367033333336,14:06:15:22
518,518.0,50776.367033333336,14:06:16:22
519,519.0,50777.367033333336,14:06:17:22
520,520.0,50778.367033333336,14:06:18:22
521,521.0,50779.367033333336,14:06:19:22
522,522.0,50780.367033333336,14:06:20:22
523,523.0,50781.367033333336,14:06:21:22
524,524.0,50782.367033333336,14:06:22:22
525,525.0,50783.367033333336,14:06:23:22
526,526.0,50784.367033333336,14:06:24:22
527,527.0,50785.367033333336,14:06:25:22
528,528.0,50786.367033333336,14:06:26:22
529,529.0,50787.367033333336,14:06:27:22
530,530.0,50788.367033333336,14:06:28:22
531,531.0,50789.367033333336,14:06:29:22
532,532.0,50790.367033333336,14:06:30:22
533,533.0,50791.367033333336,14:06:31:22
534,534.0,50792.367033333336,14:06:32:22
535,535.0,50793.367033333336,14:06:33:22
536,536.0,50794.367033333336,14:06:34:22
537,537.0,50795.367033333336,14:06:35:22
538,538.0,50796.367033333336,14:06:36:22
539,539.0,50797.367033333336,14:06:37:22
540,540.0,50798.367033333336,14:06:38:22
541,541.0,50799.367033333336,14:06:39:22
542,542.0,50800.367033333336,14:06:40:22
543,543.0,50801.367033333336,14:06:41:22
544,544.0,50802.367033333336,14:06:42:22
545,545.0,50803.367033333336,14:06:43:22
546,546.0,50804.367033333336,14:06:44:22
547,547.0,50805.367033333336,14:06:45:22
548,548.0,50806.367033333336,14:06:46:22
549,549.0,50807.367033333336,14:06:47:22
550,550.0,50808.367033333336,14:06:48:22
551,551.0,50809.367033333336,14:06:49:22
552,552.0,50810.367033333336,14:06:50:22
553,553.0,50811.367033333336,14:06:51:22
554,554.0,50812.367033333336,14:06:52:22
555,555.0,50813.367033333336,14:06:53:22
556,556.0,50814.367033333336,14:06:54:22
557,557.0,50815.367033333336,14:06:55:22
558,558.0,50816.367033333336,14:06:56:22
559,559.0,50817.367033333336,14:06:57:22
560,560.0,50818.367033333336,14:06:58:22
561,561.0,50819.367033333336,14:06:59:22
562,562.0,50820.367033333336,14:07:00:22
563,563.0,50821.367033333336,14:07:01:22
564,564.0,50822.367033333336,14:07:02:22
565,565.0,50823.367033333336,14:07:03:22
566,566.0,50824.367033333336,14:07:04:22
567,567.0,50825.367033333336,14:07:05:22
568,568.0,50826.367033333336,14:07:06:22
569,569.0,50827.367033333336,14:07:07:22
570,570.0,50828.367033333336,14:07:08:22
571,571.0,50829.367033333336,14:07:09:22
572,572.0,50830.367033333336,14:07:10:22
573,573.0,50831.367033333336,14:07:11:22
574,574.0,50832.367033333336,14:07:12:22
575,575.0,50833.367033333336,14:07:13:22
576,576.0,50834.367033333336,14:07:14:22
577,577.0,50835.367033333336,14:07:15:22
578,578.0,50836.367033333336,14:07:16:22
579,579.0,50837.367033333336,14:07:17:22
580,580.0,50838.367033333336,14:07:18:22
581,581.0,50839.367033333336,14:07:19:22
582,582.0,50840.367033333336,14:07:20:22
583,583.0,50841.367033333336,14:07:21:22
584,584.0,50842.367033333336,14:07:22:22
585,585.0,50843.367033333336,14:07:23:22
