window_id,start_idx_in_video_subset,end_idx_in_video_subset,start_time,end_time
306,30600,30799,2025-07-17 14:07:50,2025-07-17 14:07:53.980
307,30700,30899,2025-07-17 14:07:52,2025-07-17 14:07:55.980
308,30800,30999,2025-07-17 14:07:54,2025-07-17 14:07:57.980
309,30900,31099,2025-07-17 14:07:56,2025-07-17 14:07:59.980
310,31000,31199,2025-07-17 14:07:58,2025-07-17 14:08:01.980
311,31100,31299,2025-07-17 14:08:00,2025-07-17 14:08:03.980
312,31200,31399,2025-07-17 14:08:02,2025-07-17 14:08:05.980
313,31300,31499,2025-07-17 14:08:04,2025-07-17 14:08:07.980
314,31400,31599,2025-07-17 14:08:06,2025-07-17 14:08:09.980
315,31500,31699,2025-07-17 14:08:08,2025-07-17 14:08:11.980
316,31600,31799,2025-07-17 14:08:10,2025-07-17 14:08:13.980
317,31700,31899,2025-07-17 14:08:12,2025-07-17 14:08:15.980
318,31800,31999,2025-07-17 14:08:14,2025-07-17 14:08:17.980
319,31900,32099,2025-07-17 14:08:16,2025-07-17 14:08:19.980
320,32000,32199,2025-07-17 14:08:18,2025-07-17 14:08:21.980
321,32100,32299,2025-07-17 14:08:20,2025-07-17 14:08:23.980
322,32200,32399,2025-07-17 14:08:22,2025-07-17 14:08:25.980
323,32300,32499,2025-07-17 14:08:24,2025-07-17 14:08:27.980
324,32400,32599,2025-07-17 14:08:26,2025-07-17 14:08:29.980
325,32500,32699,2025-07-17 14:08:28,2025-07-17 14:08:31.980
326,32600,32799,2025-07-17 14:08:30,2025-07-17 14:08:33.980
327,32700,32899,2025-07-17 14:08:32,2025-07-17 14:08:35.980
328,32800,32999,2025-07-17 14:08:34,2025-07-17 14:08:37.980
329,32900,33099,2025-07-17 14:08:36,2025-07-17 14:08:39.980
330,33000,33199,2025-07-17 14:08:38,2025-07-17 14:08:41.980
331,33100,33299,2025-07-17 14:08:40,2025-07-17 14:08:43.980
332,33200,33399,2025-07-17 14:08:42,2025-07-17 14:08:45.980
333,33300,33499,2025-07-17 14:08:44,2025-07-17 14:08:47.980
334,33400,33599,2025-07-17 14:08:46,2025-07-17 14:08:49.980
335,33500,33699,2025-07-17 14:08:48,2025-07-17 14:08:51.980
336,33600,33799,2025-07-17 14:08:50,2025-07-17 14:08:53.980
337,33700,33899,2025-07-17 14:08:52,2025-07-17 14:08:55.980
338,33800,33999,2025-07-17 14:08:54,2025-07-17 14:08:57.980
339,33900,34099,2025-07-17 14:08:56,2025-07-17 14:08:59.980
340,34000,34199,2025-07-17 14:08:58,2025-07-17 14:09:01.980
341,34100,34299,2025-07-17 14:09:00,2025-07-17 14:09:03.980
342,34200,34399,2025-07-17 14:09:02,2025-07-17 14:09:05.980
343,34300,34499,2025-07-17 14:09:04,2025-07-17 14:09:07.980
344,34400,34599,2025-07-17 14:09:06,2025-07-17 14:09:09.980
345,34500,34699,2025-07-17 14:09:08,2025-07-17 14:09:11.980
346,34600,34799,2025-07-17 14:09:10,2025-07-17 14:09:13.980
347,34700,34899,2025-07-17 14:09:12,2025-07-17 14:09:15.980
348,34800,34999,2025-07-17 14:09:14,2025-07-17 14:09:17.980
349,34900,35099,2025-07-17 14:09:16,2025-07-17 14:09:19.980
350,35000,35199,2025-07-17 14:09:18,2025-07-17 14:09:21.980
351,35100,35299,2025-07-17 14:09:20,2025-07-17 14:09:23.980
